選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,利益効率σ_30日,利益効率σ_90日,利益効率σ_365日,利益効率σ_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-07-20,Short,EURUSD,20:47:00,21:01:00,14,20,1,90.48%,60.00%,45.35%,65.28%,,,,,,,,,73.4,81.5,-38.6,38.8,4.37,2.03,-0.57,1.95,87.27,42.45,22.84,41.62,3.64,4.87,5.25,4.59,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Short,EURUSD,20:47:00,21:04:00,17,20,1,90.48%,55.38%,47.29%,64.38%,,,,,,,,,78.6,42.6,-108.8,4.1,5.12,0.97,-1.31,1.59,86.07,34.7,16.17,35.77,3.36,5.24,5.42,4.67,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Short,EURUSD,20:49:00,21:01:00,12,20,1,90.48%,55.38%,45.35%,63.74%,,,,,,,,,66.3,41.5,-75.2,10.9,3.35,0.98,-1.03,1.10,85.21,23.98,20.09,31.37,4.28,5.04,5.05,4.79,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Short,CHFJPY,1:08:00,1:15:00,7,1,0,86.36%,55.38%,45.56%,62.44%,64,,,,,,,,48.2,38.4,-169.5,-27.6,2.67,0.68,-1.70,0.55,83.47,12.02,13.17,12,3.85,6.52,6.38,5.58,0.8,0.8,0.8,0.8
FALSE,2025-07-20,Short,EURJPY,1:20:00,1:40:00,20,1,0,86.36%,61.54%,49.81%,65.90%,,,,,,,,,62.2,5.3,32.3,33.3,2.43,0.04,0.18,0.88,88.11,19.27,7.23,18.81,5.48,7.21,11.08,7.92,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Short,CADJPY,1:59:00,2:12:00,13,1,1,86.36%,56.92%,50.58%,64.62%,,,,,,,,,36.0,19.2,65.4,40.2,2.15,0.54,0.57,1.09,86.39,23.8,13.02,22.02,3.56,4.27,7.50,5.11,0.6,0.6,0.6,0.6
FALSE,2025-07-20,Long,EURUSD,2:01:00,2:18:00,17,2,0,86.36%,56.92%,50.58%,64.62%,,,,,,,,,71.6,3.6,-6.0,23.1,3.50,0.04,-0.04,1.17,86.39,25.51,13.58,30.05,4.36,6.54,6.69,5.87,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Long,EURUSD,2:01:00,2:07:00,6,2,0,86.36%,55.38%,50.97%,64.24%,,,,,,,,,40.8,25.0,-19.9,15.3,3.89,0.88,-0.35,1.47,85.88,32.08,25.21,19.69,2.24,3.41,3.56,3.07,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Long,EURUSD,2:01:00,2:09:00,8,2,0,86.36%,53.85%,48.65%,62.95%,,,,,,,,,60.2,32.4,-30.2,20.8,3.52,0.88,-0.40,1.33,84.16,29.06,27.3,28.42,3.65,4.39,4.68,4.24,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Short,CADJPY,2:01:00,2:05:00,4,2,0,86.36%,55.38%,46.33%,62.69%,,,,,,,,,26.5,4.6,-53.7,-7.5,2.86,0.19,-0.69,0.79,83.81,17.16,20.56,10.7,1.98,2.63,4.69,3.10,0.6,0.6,0.6,0.6
